AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KRFT,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM
15.82,43.3,68.15,13.85,94.38,20.45,91.66,50.05,37.74,18.49,35.2,42.22,147.21,21.01,62.63,43,65.88,31.76,77.1,86.75,36.29,28.05,17.7,64.39,29.68,56.09,79.19,36.06,54.23,73.72
16.72,45.6,70.1,14.69,94.81,21,92.48,50.54,40,18.72,35.57,45.39,148.86,21.21,63.54,44.95,65.88,31.76,77.59,87.9,37.35,28.85,18.38,65.08,30.1,56.34,79.75,37.7,55.07,75.9
15.78,43.11,66,13.8,92.3,20.38,90.27,49.28,37.62,18.12,34.18,42.22,146.64,20.27,62.53,42.64,62.56,31.14,73.59,85.63,35.85,27.77,17.62,64,28.66,52.88,78.4,35.41,53.76,73.64
16.42,44.36,69.38,14.25,93.73,20.97,91.19,49.76,39.45,18.43,34.38,45.09,147.93,20.66,62.6,43.64,62.92,31.19,74.37,86.23,37.35,28.6,18.34,64.5,28.85,53.33,79.08,35.93,54.08,75.59
-0.6,-1.06,-1.23,-0.4,0.65,-0.52,0.47,0.29,-1.71,0.06,0.82,-2.87,-0.72,0.35,0.03,-0.64,2.96,0.57,2.73,0.52,-1.06,-0.55,-0.64,-0.11,0.83,2.76,0.11,0.13,0.15,-1.87
16.71,44.2,69.42,14.17,93.21,20.94,90.95,48.3,39.01,18.61,34.16,44.86,147,20.71,62.29,43.27,62.7,30.91,74.25,85.7,37.26,28.2,18.22,64.4,28.54,53.12,78.27,36.55,53.65,75.13
16.71,46.25,70.5,15.25,94.7,21.23,92.85,49.8,39.81,18.82,35.89,46.25,150,21.33,62.98,44.97,63.86,31.72,74.49,88.8,37.61,28.5,18.48,65.53,28.61,54.84,79.9,36.58,55.36,77.84
15.64,44.01,68.35,14.09,92.51,20.7,90.12,47.2,38.92,18.46,34.07,44.57,146,20.57,62,43,62.56,30.89,72.46,85.7,34.23,28,18.13,63.4,27.71,52.96,77.81,34.98,53.54,74.58
15.97,46.25,70.07,15.25,94.01,21.21,92.83,49.8,39.29,18.82,35.89,46.25,150,21.08,62.55,44.91,63.13,31.34,74.06,88.1,34.23,28.3,18.34,65.53,28.43,54.63,79.08,35.46,54.81,77.84
0.74,-2.05,-0.65,-1.08,-0.8,-0.27,-1.88,-1.5,-0.28,-0.21,-1.73,-1.39,-3,-0.37,-0.26,-1.64,-0.43,-0.43,0.19,-2.4,3.03,-0.1,-0.12,-1.13,0.11,-1.51,-0.81,1.09,-1.16,-2.71
16.19,46.03,70.86,15.08,94.16,21.22,92.94,49.53,39.07,18.98,35.97,46.14,149.82,21.03,62.21,45.02,63.21,31.41,74.65,87.84,34.07,28.16,18.35,65.65,28.55,54.62,79.28,35.38,55.11,77.79
16.38,46.71,72.99,15.16,96.8,21.33,93.94,50.14,39.94,19.97,36.99,47.64,156.78,21.2,63.25,45.54,63.92,31.52,75.75,89.39,34.3,28.74,18.49,65.95,28.59,55.24,80.5,35.51,56.27,79.1
15.6,44.71,70.23,13.94,92.37,20.5,91.58,47.65,38.51,18.17,35.48,45.76,149.38,20.62,62.01,43.6,62.72,30.89,74.31,87.25,33.48,28.02,18.02,65.05,28.15,54.07,78.98,34.35,54.71,76.77
15.79,46,71.68,14.25,92.75,20.72,93.78,48.35,39.74,19.74,36.51,47.23,155.5,20.82,62.66,45.29,62.77,31.35,75.01,89.29,33.9,28.02,18.36,65.91,28.33,55,80.2,34.95,55.73,78.98
0.4,0.03,-0.82,0.83,1.41,0.5,-0.84,1.18,-0.67,-0.76,-0.54,-1.09,-5.68,0.21,-0.45,-0.27,0.44,0.06,-0.36,-1.45,0.17,0.14,-0.01,-0.26,0.22,-0.38,-0.92,0.43,-0.62,-1.19
15.87,46.05,71.52,14.25,92.71,20.84,93.89,48.44,39.64,19.93,36.46,46.69,155.42,21.03,62.56,45.21,62.87,31.39,74.25,89.21,33.99,28.02,18.33,65.9,28.46,55.14,80.26,34.88,55.39,78.85
16.63,46.27,72.82,14.26,97.79,21.61,94.97,50.66,39.95,20.74,38.12,47.83,164.35,21.94,62.72,45.88,63.31,31.77,75.85,90.5,33.99,29.46,18.76,66.95,28.95,57.78,83.08,36.59,57.9,79.98
15.82,43.42,69,13.4,92.51,20.73,92.93,48.26,38.65,19.74,36.3,45.36,155.33,20.93,60,44.26,62.14,30.5,73.05,87.2,33,27.45,18.14,63.14,27.41,54.97,80.26,34.88,55.3,77.93
16.13,43.86,69.23,13.6,95.68,20.93,93.37,50.29,38.85,20.2,36.7,45.51,159.21,21.46,60.01,44.54,62.21,30.53,73.28,87.44,33.07,27.75,18.15,64.2,27.49,55.81,81.43,35.63,56.7,78.99
-0.26,2.19,2.29,0.65,-2.97,-0.09,0.52,-1.85,0.79,-0.27,-0.24,1.18,-3.79,-0.43,2.55,0.67,0.66,0.86,0.97,1.77,0.92,0.27,0.18,1.7,0.97,-0.67,-1.17,-0.75,-1.31,-0.14
16.18,44.13,69.26,13.71,96.13,20.93,93.85,50.15,39.04,20.13,37.13,45.41,159.18,21.55,60.16,44.41,62.32,30.53,73.8,87.93,33.29,27.77,18.19,64.35,27.42,55.81,81.8,35.64,56.45,79.92
17.39,44.23,71.64,14.47,99.72,22.15,97.44,52.63,40.77,20.96,37.18,47.52,164.2,21.71,60.99,46,63.48,31.22,74.5,88.45,34.04,28.11,19.39,64.36,28.06,57.52,82.6,36.48,56.58,83.98
16.18,43.15,69.12,13.64,95.85,20.71,93.37,50.09,38.64,20.1,36.38,45.13,158.68,21.03,59.69,44.3,61.89,30.21,73.08,87.31,32.51,27.42,18.16,62.3,27.2,55.81,80.66,35.38,55.39,79.01
17.14,43.82,71.38,14.29,99.59,22.05,97.11,52.53,40.71,20.56,36.8,47.43,164,21.68,60.84,44.59,62.56,31.19,74.05,88.29,32.89,27.77,19.3,63.61,27.97,57.41,82.52,36.31,56.03,83.28
-0.96,0.31,-2.12,-0.58,-3.46,-1.12,-3.26,-2.38,-1.67,-0.43,0.33,-2.02,-4.82,-0.13,-0.68,-0.18,-0.24,-0.66,-0.25,-0.36,0.4,0,-1.11,0.74,-0.55,-1.6,-0.72,-0.67,0.42,-3.36
17.33,43.96,71.43,14.51,99.62,22.11,97.28,52.62,40.8,20.77,36.8,47.71,164.08,21.74,60.88,44.75,62.67,31.18,74.13,88.17,32.94,27.8,19.27,63.95,27.97,57.32,82.85,36.3,56.07,83.45
17.48,46.79,72.99,14.87,103.55,22.34,98.23,54.75,44.05,21.44,37.48,49.39,166.25,21.86,61.17,46.89,64.75,31.25,76.32,91.95,33.3,28.34,19.3,64.97,28.59,59.12,85.46,36.77,56.73,84
16.97,43.88,71.15,14.35,98.75,18.61,95.7,52.51,40.71,20.73,36.41,47.61,163.18,21.35,60.42,44.65,62.32,30.24,73.3,87.81,32.74,27.07,18.62,63.8,27.63,56.97,82.73,35.77,55.3,81.61
17.37,46.75,72.14,14.77,103.54,18.7,96.45,54.58,43.41,21.33,37.48,48.64,163.85,21.76,60.7,46.57,63.57,30.66,76.14,91.8,33.07,27.25,18.83,64.73,28.47,58.99,85.2,36.39,55.69,82.82
-0.04,-2.79,-0.71,-0.26,-3.92,3.41,0.83,-1.96,-2.61,-0.56,-0.68,-0.93,0.23,-0.02,0.18,-1.82,-0.9,0.52,-2.01,-3.63,-0.13,0.55,0.44,-0.78,-0.5,-1.67,-2.35,-0.09,0.38,0.63
17.39,46.42,72.7,14.77,103.56,18.84,95.5,54.44,43.19,21.51,37.47,48.45,164.18,21.63,60.69,46,63.67,30.67,76.07,91.72,32.97,27.2,18.82,64.8,28.4,58.84,85.07,36.31,55.26,82
17.68,46.93,73.04,14.95,105.86,18.95,98.72,55.98,43.9,21.65,38.48,49.12,164.84,22.14,61.11,48,64.72,30.93,76.45,92.96,33.19,27.37,19.39,64.8,28.57,60.92,85.44,36.62,55.38,85.1
17.28,45.53,71.09,14.69,102.01,18.56,95.5,53.8,42.98,21.24,37.27,47.54,162.52,21.28,60.33,46,62.55,30.26,75.7,91,32.65,26.6,18.72,63.4,28,58.53,84.25,35.66,54.35,81.8
17.28,45.53,72.04,14.75,105.86,18.85,98.72,55.98,43.56,21.44,38.48,48.67,164.84,22.14,61.11,48,64.55,30.91,76.13,92.96,32.85,27.06,19.19,64.3,28.57,60.92,85.01,36.62,55.38,84.5
0.11,0.89,0.66,0.02,-2.3,-0.01,-3.22,-1.54,-0.37,0.07,-1.01,-0.22,-0.66,-0.51,-0.42,-2,-0.88,-0.24,-0.06,-1.24,0.12,0.14,-0.37,0.5,-0.17,-2.08,0.06,-0.31,-0.12,-2.5
16.98,44.94,72.35,14.38,104.86,18.73,99.23,54.95,42.83,20.88,39.3,47.57,163.57,21.95,60.68,47.2,63.36,30.72,75.95,92.73,32.75,26.78,18.88,63.73,28.32,60.6,84.54,36.24,53.81,84.97
17.15,45.12,74.29,14.52,105.3,18.74,103.94,55.3,43.28,21.21,39.38,48.55,164.26,22.19,61.08,47.27,64.4,32.2,76.45,93.65,32.8,27.1,19.13,64.4,28.42,61.15,84.69,36.32,54.01,88.23
15.96,43.01,70,13.79,98.03,18.23,99.23,52.36,41.6,20.08,36.78,42.08,159.03,21.01,59.36,45.21,63.33,30.66,74.42,89.27,31.85,26.43,18.67,62.53,27.61,59.05,81.81,35.34,51.52,84.73
16.68,43.53,72.3,14.2,102,18.64,102.1,54.07,42.95,20.82,37.08,42.68,162.28,21.86,59.64,46.68,64.31,31.71,74.44,90.25,32.19,26.55,18.86,62.84,28.13,59.6,83.37,35.97,51.75,85.34
0.3,1.41,0.05,0.18,2.86,0.09,-2.87,0.88,-0.12,0.06,2.22,4.89,1.29,0.09,1.04,0.52,-0.95,-0.99,1.51,2.48,0.56,0.23,0.02,0.89,0.19,1,1.17,0.27,2.06,-0.37
16.81,43.73,72.47,14.27,102.72,18.62,102.28,54.22,43.02,20.95,37.15,43.06,162.36,21.75,59.93,46.81,64.17,31.82,74.51,91.9,32.2,26.69,18.95,62.8,28.25,59.6,83.58,36.06,51.75,85.87
16.94,44.68,72.9,14.48,104.43,18.79,104.99,54.95,44.34,21.17,37.86,43.85,164.31,22.08,61.5,47.18,65.87,31.88,76.63,93.4,33.36,26.86,19.9,63.65,28.53,60.02,84.24,36.94,52.6,86.56
16.13,42.75,68.6,13.81,99.35,18.31,102.18,52.76,42.97,20.16,36.33,42.06,159.41,21.35,59.77,45.07,63.86,31.28,73.64,90.24,32.19,25.8,18.9,61.56,27.79,58.53,81.42,35.85,51.68,83.55
16.58,43.72,71.8,14.12,103.04,18.4,103.75,53.87,43.55,20.37,37.22,42.61,161.83,21.56,61.06,45.52,65.21,31.58,76.03,92.19,33.06,25.95,19.66,62.03,27.92,59.18,82.86,36.08,52.07,85.08
0.23,0.01,0.67,0.15,-0.32,0.22,-1.47,0.35,-0.53,0.58,-0.07,0.45,0.53,0.19,-1.13,1.29,-1.04,0.24,-1.52,-0.29,-0.86,0.74,-0.71,0.77,0.33,0.42,0.72,-0.02,-0.32,0.79
16.58,43.86,71.6,14.18,103.42,18.36,104.12,54.1,43.53,20.4,37.26,42.9,161.6,21.69,61.09,45.62,65.32,31.56,76.38,92.58,33,26.13,19.64,62,27.95,59.26,83.03,36.13,52.26,85.84
16.75,45.54,72.5,14.7,104.45,18.37,104.77,54.49,43.61,20.79,37.78,43.05,167.72,21.74,61.1,47.1,65.84,31.79,77.25,94.16,33.48,26.27,19.75,62.3,28.89,59.72,84.05,36.65,53.88,86.08
15.42,43.53,69.91,13.92,97.01,17.76,97.6,51.82,42.16,19.94,36.54,41.26,158.85,20.61,59.11,44.76,64.47,31.18,74.97,89.71,32.45,25.35,19.3,61.12,27.73,57.88,80.26,35.65,51.75,80.1
16.03,44.28,71.64,14.38,100.02,17.95,99.93,52.9,42.93,20.36,37.14,41.73,162.43,20.87,59.69,45.74,64.81,31.7,76.73,91.61,32.73,25.68,19.47,61.49,28.46,58.88,81.28,35.85,52.59,82.12
0.55,-0.42,-0.04,-0.2,3.4,0.41,4.19,1.2,0.6,0.04,0.12,1.17,-0.83,0.82,1.4,-0.12,0.51,-0.14,-0.35,0.97,0.27,0.45,0.17,0.51,-0.51,0.38,1.75,0.28,-0.33,3.72
15.95,43.86,71.17,14.26,102.59,17.81,99.16,53.18,42.64,19.96,36.92,41.31,161.16,20.66,59.49,45.42,64.34,31.51,76.1,91.21,32.5,25.49,19.45,61.04,28.32,58.47,80.74,35.74,52.35,81.67
16.33,44.47,71.23,14.35,105.64,17.88,103.97,53.5,42.67,20.09,36.94,42.15,161.98,20.88,59.49,46.18,64.61,31.6,76.41,91.21,32.6,25.76,20.29,61.39,28.42,59.51,81.23,35.84,52.52,82.64
15.43,42.19,67.34,13.66,98.55,16.97,97.98,51.1,40.42,18.6,35.43,40.1,151.71,19.71,57.5,43.4,61.29,30.45,72.89,86.91,31.06,24.68,19.15,59.7,27.27,57.51,77.05,33.36,50.97,78.8
16.11,44.17,69.1,14.04,105.06,17.14,102.8,52.99,41.23,19.25,36,41.32,155.89,19.93,58.57,45.74,62.7,30.99,72.99,88.98,31.91,24.8,20.18,60.6,27.94,58.06,80.16,35.84,51.52,80.85
-0.16,-0.31,2.07,0.22,-2.47,0.67,-3.64,0.19,1.41,0.71,0.92,-0.01,5.27,0.73,0.92,-0.32,1.64,0.52,3.11,2.23,0.59,0.69,-0.73,0.44,0.38,0.41,0.58,-0.1,0.83,0.82
16.38,44.75,70.29,14.2,106.9,17.34,103.86,53.8,41.46,19.68,36.29,41.85,157.64,19.9,58.67,46.28,63.13,30.78,73.5,90.27,32.09,25.18,20.32,60.96,28.77,58.44,81.3,36.66,51.73,81.87
17.24,45.61,73.5,14.22,110.15,17.64,107.01,54.64,43.24,19.93,37.82,43.28,162.74,20.6,59.16,46.38,65.39,31.49,75.75,92.98,32.9,25.95,20.5,61.52,29.1,59.28,83.59,37.32,52.95,83.93
16.26,44.1,70.03,13.32,105.64,17.2,103.2,52.89,40.87,19.25,36.03,41.35,157.07,19.88,58.5,44.77,63.05,30.43,73.38,90.17,32.04,25.15,19.74,60.54,27.95,57.99,80.57,36.37,51.38,81.86
17.09,45.59,73.34,13.34,109.09,17.28,106.78,54.1,42.97,19.75,37.42,42.53,162.18,20.37,58.98,45.86,65.22,31.26,75.25,92.27,32.57,25.62,20.35,60.88,28.85,58.98,83.52,37.29,52.35,83.62
-0.71,-0.84,-3.05,0.86,-2.19,0.06,-2.92,-0.3,-1.51,-0.07,-1.13,-0.68,-4.54,-0.47,-0.31,0.42,-2.09,-0.48,-1.75,-2,-0.48,-0.44,-0.03,0.08,-0.08,-0.54,-2.22,-0.63,-0.62,-1.75
17.13,45.54,73.5,13.42,109.54,17.36,106.4,54.11,43.19,19.81,37.46,42.42,161.54,20.44,58.98,46.1,65.2,31.35,75.55,92.42,32.54,25.66,20.42,61.08,29.02,59.09,83.75,37.44,52.31,83.86
17.8,46.29,73.85,13.61,113.59,17.6,109.65,55.8,43.48,20.5,37.87,42.83,164.42,20.66,59.73,46.88,67.48,31.7,76.5,94.33,33.48,25.72,20.57,62.3,30.97,60.01,85.95,38.95,52.74,84.94
17.02,45.11,73.03,13.16,108.61,16.99,105.52,53.7,42.36,19.53,36.62,37.6,161.12,19.56,58.93,45.51,65.03,31.06,74.87,91.9,32.39,25.3,20.11,60.61,28.9,58.37,83.26,37.42,51.89,82.61
