AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KRFT,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM
17.47,45.36,74.01,13.37,113.12,17.04,108.32,55.19,42.85,20.34,37.56,40.98,164.27,19.72,59.49,46.35,67.22,31.61,75.99,93.13,33.07,25.48,20.38,62.08,30.62,59.71,85.32,38.47,52.13,84.68
-0.34,0.18,-0.51,0.05,-3.58,0.32,-1.92,-1.08,0.34,-0.53,-0.1,1.44,-2.73,0.72,-0.51,-0.25,-2.02,-0.26,-0.44,-0.71,-0.53,0.18,0.04,-1,-1.6,-0.62,-1.57,-1.03,0.18,-0.82
17.42,45.61,73.38,13.4,113.75,17.01,108.52,55.5,42.87,20.73,37.48,40.65,164.42,19.79,59.5,46.12,67.22,31.71,76.31,92.68,33.34,25.45,20.55,62.17,30.74,59.83,85.66,38.53,52.31,84.26
18.47,46.49,74.85,13.88,113.93,18.29,109.94,56.52,43.05,20.75,37.96,41.8,164.75,20.2,60.18,47.8,67.82,31.88,76.91,94.1,33.7,26.31,20.61,62.33,31,60,86,38.7,53.24,86.22
17.42,45.1,72.71,13.37,108.88,17,107.51,55,41.4,20.07,37.21,40.2,163.16,19.36,59.25,46.05,66.86,31.35,75.66,92.6,33.01,25.41,20.15,61.47,29.99,59.11,84.18,37.26,52.06,84.07
17.92,46.28,73.47,13.48,109.82,17.65,109.66,55.4,41.76,20.19,37.46,40.7,164.05,20.02,59.46,46.84,67.27,31.67,76.04,93.22,33.67,26.07,20.46,61.9,30.71,59.58,84.81,37.72,52.54,85.95
-0.5,-0.67,-0.09,-0.08,3.93,-0.64,-1.14,0.1,1.11,0.54,0.02,-0.05,0.37,-0.23,0.04,-0.72,-0.05,0.04,0.27,-0.54,-0.33,-0.62,0.09,0.27,0.03,0.25,0.85,0.81,-0.23,-1.69
18.06,46.36,73.65,13.5,110.02,17.71,109.74,55.45,41.76,20.24,37.45,40.71,163.44,20.07,59.54,47,67.25,31.73,76.15,93.59,33.68,26.19,20.55,62.02,30.75,59.85,85,37.75,52.54,85.95
18.19,46.95,74.28,13.64,110.3,17.76,109.9,55.81,42.02,20.37,38.4,41.55,166.34,20.2,60.95,47.37,68.47,33.54,77.54,94.64,34.97,26.25,20.75,64.21,30.84,60.85,85.56,38,53.96,86.15
16.38,45.6,70.88,12.82,105.35,16.97,103.13,53.17,40.84,19.6,37.17,40.12,162.3,19.41,59.49,44.83,66.41,31.69,75.83,91.75,33.27,25.09,20.33,61.9,30.01,59,82.7,37.34,52.4,82.38
16.52,46.25,72.6,12.82,107.21,17.03,106.24,54.89,41.52,20.04,38.17,40.26,166.21,19.75,60.56,44.89,68.01,33.36,77.38,92.82,34.51,25.37,20.53,64.18,30.65,59.8,83.45,37.85,53.55,84.29
1.54,0.11,1.05,0.68,2.81,0.68,3.5,0.56,0.24,0.2,-0.72,0.45,-2.77,0.32,-1.02,2.11,-0.76,-1.63,-1.23,0.77,-0.83,0.82,0.02,-2.16,0.1,0.05,1.55,-0.1,-1.01,1.66
16.36,45.85,72.72,12.59,105.58,16.88,104.95,54.28,40.97,19.77,37.7,39.96,164.64,19.53,60.45,44.27,67.57,32.72,76.89,91.94,34.2,25.1,20.32,63.67,30.42,59.32,82.6,37.6,53.08,83.11
16.97,47.48,75.44,12.6,109.42,16.96,108.34,56,42.46,20.54,38.5,41.19,168.28,21.46,64.54,44.97,68.05,33.67,78.41,94.42,34.29,26,20.88,64.34,30.68,61.32,87.1,38,53.95,86.36
15.88,45.27,71.75,12.15,102.16,16.52,103.04,53.19,40.45,19.51,37.2,39.16,162.19,19.45,60.1,43.53,66.64,32.7,76.4,90.58,33.51,24.72,19.79,63.27,29.91,58.07,81.1,36.91,52.91,82.44
16.97,47.11,75.44,12.31,109.42,16.94,108.13,55.91,42.27,19.95,37.8,40.99,168.28,21.46,64.07,44.68,67.88,33.38,76.91,93.92,34.04,25.52,19.79,63.27,30.68,61.32,87.1,36.91,53.58,86.36
-0.61,-1.26,-2.72,0.28,-3.84,-0.06,-3.18,-1.63,-1.3,-0.18,-0.1,-1.03,-3.64,-1.93,-3.62,-0.41,-0.31,-0.66,-0.02,-1.98,0.16,-0.42,0.53,0.4,-0.26,-2,-4.5,0.69,-0.5,-3.25
16.94,47.19,75.51,12.32,109.24,16.93,107.37,55.69,42.34,20.14,37.61,41.06,167.65,21.37,63.65,44.65,67.95,33.45,77.15,93.91,33.7,25.56,19.95,63.08,30.67,61.32,87,37.07,53.6,86.29
17.24,49.15,75.34,12.6,116.25,17.64,109.6,56.88,43.35,20.85,37.71,41.3,173,23.19,65.98,46.02,67.98,33.9,78.59,97.5,36.25,26.87,21.06,65.1,31.82,63.37,89.8,38.42,55.16,88
16.66,46.77,74.68,12.23,107.95,16.9,106.68,54.54,41.71,19.89,36.94,39.99,167.23,21.33,63.4,44.38,65.81,33,76.54,93.27,33.63,25.34,19.9,62.6,30.43,60.91,86.29,36.82,53.23,85.89
17,49.08,79.78,12.28,115.41,17.52,109.44,56.79,43.1,20.45,37.15,40.37,170.58,23.15,65.72,45.63,67.46,33.59,78.31,97.21,35.95,25.92,20.97,64.9,31.12,63.28,89.58,37.78,54.98,87.98
-0.06,-1.89,-4.27,0.04,-6.17,-0.59,-2.07,-1.1,-0.76,-0.31,0.46,0.69,-2.93,-1.78,-2.07,-0.98,0.49,-0.14,-1.16,-3.3,-2.25,-0.36,-1.02,-1.82,-0.45,-1.96,-2.58,-0.71,-1.38,-1.69
17.27,49.37,75.35,12.36,116.24,17.51,109.48,56.42,43.47,20.7,37.44,40.69,172.11,23.02,65.92,45.94,67.76,33.6,78.4,97.58,36.44,25.94,21.14,65.24,31.6,63.56,90.03,38.33,55.08,88.1
20.96,50.47,74.65,12.71,116.55,17.7,109.57,57,43.79,20.71,37.67,41.52,173.54,23.86,66.46,46.07,67.93,34.49,79.37,97.95,36.75,26.25,21.2,66.5,31.94,64.17,90.67,38.33,55.79,88.13
16.83,49.08,78.09,12.2,108.39,17.28,101.11,53.59,42.3,19.81,36.77,39.8,167.5,22.67,64.8,44.76,66.4,33.22,78.2,94.4,35.95,25.48,20.07,64.9,31.03,62.85,85.8,36.9,53.2,81.59
17.15,50.2,79.31,12.31,110.34,17.56,102.88,54.63,43.06,20.01,36.99,40.81,168.89,23.25,65.27,45.04,66.9,34.08,78.7,95.6,36.39,25.87,20.55,65.27,31.26,63.43,89.21,37.28,55.02,82.69
0.12,-0.83,-3.96,0.05,5.9,-0.05,6.6,1.79,0.41,0.69,0.45,-0.12,3.22,-0.23,0.65,0.9,0.86,-0.48,-0.3,1.98,0.05,0.07,0.59,-0.03,0.34,0.13,0.82,1.05,0.06,5.41
17.16,50.06,79.31,12.28,110.8,17.53,103.25,54.94,43.32,19.97,36.93,40.79,168.39,23.13,65.11,44.75,66.86,33.81,79.46,95.3,36.11,25.8,20.53,64.93,31.2,63.23,88.88,37.28,54.97,83.01
17.62,50.46,80.42,12.43,112.97,17.99,104.95,56.13,44.12,20.42,37.43,41.74,172.77,23.83,67.37,45.5,68.77,35.1,80.91,97.18,37.3,25.96,20.99,67.31,31.79,64.09,90.18,37.68,56.03,83.76
16.75,49.22,78.48,11.91,106.02,16.64,100.41,52.55,40.94,19.76,36.7,40.22,167.82,22.65,65.07,42.98,66.83,33.8,79.08,94.44,36.1,24.95,20.45,64.86,31.05,62.18,88.35,36.95,54.7,79.42
17.1,49.49,79.03,11.93,106.33,16.88,102.39,52.91,41.52,19.89,37.01,40.41,169.92,23.41,66.62,43.15,68.18,34.89,80.74,96.01,37.08,25.03,20.92,66.86,31.41,62.33,88.98,37.26,55.72,80.87
0.06,0.57,0.28,0.35,4.47,0.65,0.86,2.03,1.8,0.08,-0.08,0.38,-1.53,-0.28,-1.51,1.6,-1.32,-1.08,-1.28,-0.71,-0.97,0.77,-0.39,-1.93,-0.21,0.9,-0.1,0.02,-0.75,2.14
17,49.42,78.66,11.89,105.87,16.82,102.03,52.74,41.26,19.85,36.69,40.2,169.81,23.32,66.41,42.97,68.1,34.84,80.44,95.54,37.06,24.96,20.84,66.66,31.32,62.52,88.46,37.26,55.61,80.22
17.29,51.97,78.81,12.11,108.27,16.87,104.53,54,41.84,20.05,37.94,40.34,171.41,23.96,66.79,44.35,68.7,35.44,82.85,96.23,37.65,25.07,21.28,67.72,31.77,63.11,89.25,37.41,56.47,82.58
16.26,49.17,75.83,11.53,101.47,16.34,99.61,51.92,40.68,19.41,36.55,35.91,166.53,23.08,65.28,42.65,67.5,34.48,80.44,92.75,36.69,24.25,20.68,66.51,30.9,62.13,86.65,36.8,54.95,79.6
16.26,51.19,77.52,11.58,104.33,16.53,102.57,52.74,41.5,19.62,37.05,35.98,170.16,23.22,65.69,43.13,68.3,35.23,82.33,93.56,37.06,24.49,20.69,67.36,31.32,62.25,87.5,37.15,55.29,81.57
0.74,-1.77,1.14,0.31,1.54,0.29,-0.54,0,-0.24,0.23,-0.36,4.22,-0.35,0.1,0.72,-0.16,-0.2,-0.39,-1.89,1.98,0,0.47,0.15,-0.7,0,0.27,0.96,0.11,0.32,-1.35
15.96,50.74,76.55,11.47,101.3,16.41,101.13,51.75,41.15,19.32,36,35.58,168.5,22.92,65.19,42.4,67.59,34.97,81.53,92.29,36.67,24.21,20.49,66.8,31,61.74,86.41,36.75,54.9,80.22
16.48,51.38,76.99,11.69,104.6,16.46,103.86,52.56,41.52,19.52,37,36.96,168.6,23.03,66.77,42.92,67.9,35.06,83.08,93.47,37.04,25.03,20.98,67.2,31.3,62,86.72,37.03,55.5,82.63
15.83,49.79,75.13,11.29,100.3,16.11,100.7,50.5,40.55,18.97,36,35.44,165.9,22.21,65.08,41.69,66.3,34.28,81.49,91.38,36.1,24.03,20.35,65.7,30.92,60.36,85.21,36.24,54.1,80.07
16.48,51.13,76.99,11.69,104.6,16.46,103.21,52.56,41.52,19.44,36,36.96,167.5,22.21,66.77,42.79,66.51,34.75,81.62,93.47,36.21,24.76,20.93,66.2,31.29,61.52,86.33,36.67,54.7,82.63
-0.52,-0.39,-0.44,-0.22,-3.3,-0.05,-2.08,-0.81,-0.37,-0.12,0,-1.38,1,0.71,-1.58,-0.39,1.08,0.22,-0.09,-1.18,0.46,-0.55,-0.44,0.6,-0.29,0.22,0.08,0.08,0.2,-2.41
16.73,51.39,77.8,11.87,106.41,16.59,104.61,53.18,41.9,19.68,36.18,37.28,168.44,22.45,67.31,43.24,66.94,34.79,82.13,94.05,36.39,24.96,21,66.33,31.48,61.95,87,36.91,54.88,83.28
16.83,51.7,78.35,11.92,106.6,16.82,105.21,53.39,41.99,19.72,36.28,37.52,169.89,22.64,67.34,43.38,67.24,35,82.25,94.68,36.76,25.1,21.45,67,31.65,62.25,87.79,36.99,55.22,83.75
15.77,49.04,74.09,11.08,99.15,15.98,99.57,50.11,39.17,18.75,34.43,36,164.13,21.67,65.8,40.83,65.21,34.05,80.01,90.19,35.76,23.84,20.66,56.57,30.52,60.59,82.43,35.6,53.04,80.18
15.92,49.28,74.84,11.28,101.1,16.01,101,50.29,39.38,18.82,34.63,36.11,165.05,21.73,66.09,41.57,65.53,34.1,80.54,90.7,35.82,23.9,20.84,65.43,30.65,61.18,83.24,35.63,53.66,81.18
0.81,2.11,2.96,0.59,5.31,0.58,3.61,2.89,2.52,0.86,1.55,1.17,3.39,0.72,1.22,1.67,1.41,0.69,1.59,3.35,0.57,1.06,0.16,0.9,0.83,0.77,3.76,1.28,1.22,2.1
14.92,49.13,74.76,11.18,100.25,16.04,100.9,50.3,39.18,18.71,34.53,35.99,164.76,21.8,65.87,41.1,65.51,34.07,80.6,90.38,35.7,23.9,20.82,65.36,30.55,61.35,82.93,35.57,53.86,80.93
16.03,49.38,75.27,11.2,101.61,16.17,101.87,50.9,39.88,18.8,35.02,36.24,165.96,22.44,67.28,41.5,68.05,34.39,82.23,92.43,36.38,24.25,20.97,65.64,30.61,61.68,84.52,36.14,54.3,81.87
15.17,47.33,72.61,10.41,96.42,15.01,98.98,49.52,38.42,18.14,33.42,35.14,162.87,21.26,65.18,40.1,65.07,24.3,80,90.24,35.36,23.69,20.04,64.65,30.11,58.71,82.6,35.16,52.69,79.72
15.28,47.74,72.69,10.8,96.79,15.12,99.67,49.78,38.5,18.32,33.47,35.25,163.18,21.38,66.09,41.05,65.39,33.79,80.36,90.73,35.45,23.7,20.11,64.7,30.34,59.21,82.7,35.19,52.72,79.78
-0.36,1.39,2.07,0.38,3.46,0.92,1.23,0.52,0.68,0.39,1.06,0.74,1.58,0.42,-0.22,0.05,0.12,0.28,0.24,-0.35,0.25,0.2,0.71,0.66,0.21,2.14,0.23,0.38,1.14,1.15
15.29,47.96,73.85,10.89,96.93,15.14,100.04,50.03,38.63,18.31,33.46,35.13,164.44,21.43,66.32,41.29,65.1,33.92,80.43,91.14,35.03,23.79,20.08,64.65,30.28,59.12,82.92,35.23,52.91,80
15.5,49.14,74.69,11.12,98.45,15.28,101.29,50.63,38.86,18.9,34.93,35.32,165.1,26.78,67.36,42.44,66.23,34.72,82.72,92.99,35.88,29.05,20.73,65.22,30.95,59.32,85.26,35.92,53.29,80.82
14.59,46.92,73.8,10.4,94.2,14.78,97.71,48.64,37.77,18.2,33.41,33.95,161.52,21.07,65.47,39.7,64.64,33.76,80.39,90.58,34.99,23.65,20.03,63.33,30.17,57.36,82.52,34.94,51.79,78.33
14.72,48.5,74.25,10.68,95.95,14.97,99.17,49.57,38.04,18.49,34.53,35,164.44,21.19,66.29,40.8,65.62,34.48,82.52,91.78,35.39,24.26,20.26,64.69,30.77,57.92,84.57,35.51,52.82,79.02
0.57,-0.54,-0.4,0.21,0.98,0.17,0.87,0.46,0.59,-0.18,-1.07,0.13,0,0.24,0.03,0.49,-0.52,-0.56,-2.09,-0.64,-0.36,-0.47,-0.18,-0.04,-0.49,1.2,-1.65,-0.28,0.09,0.98
14.67,48.35,74.17,10.59,96.49,14.94,98.88,49.5,37.85,18.34,34.29,34.79,163.7,21.19,66.08,40.5,65.37,34.39,82.32,91.42,35.29,24.17,20.09,64.51,30.66,57.57,84.36,35.35,52.7,78.65
15.6,50.15,75.25,10.94,102.5,15.64,102.46,51.98,38.89,18.94,35.69,35.65,166.81,21.74,66.75,41.53,66.82,34.98,83.09,93.92,35.97,24.86,20.96,65.29,31.33,58.28,86.21,36.17,53.7,81.12
14.56,48.15,74.09,10.48,96.05,14.92,97,49.46,37.19,17.97,34.28,34.55,163.59,21.06,64.69,39.44,64.43,33.87,81.4,90.68,34.5,24.16,20.08,62.44,30.29,56.12,83.69,35.2,52.35,76.78
15.23,48.34,75.25,10.52,100.01,14.93,97.9,51.96,37.58,17.97,35.08,34.9,165.07,21.2,65.06,39.49,64.93,34.6,81.84,90.89,34.55,24.3,20.08,62.59,30.44,56.68,84.33,36,52.41,76.78
-0.56,0.01,-1.08,0.07,-3.52,0.01,0.98,-2.46,0.27,0.37,-0.79,-0.11,-1.37,-0.01,1.02,1.01,0.44,-0.21,0.48,0.53,0.74,-0.13,0.01,1.92,0.22,0.89,0.03,-0.65,0.29,1.87
15.22,48.49,75.08,10.52,99.96,14.94,97.94,51.85,37.62,18,35.03,35.05,165.74,21.17,65.2,39.4,64.85,34.61,81.51,91.08,34.6,24.23,20.1,62.76,30.65,56.83,84.01,36,52.32,76.88
16.31,52.34,74.25,11.09,108.62,15.86,104.09,54.47,39.72,19.2,36.73,37.05,174.54,22.53,67.3,41.58,68.09,35.47,85.65,96.67,35.6,26.02,20.75,64.27,31.68,59.11,90.13,37.8,53.51,82.01